【001請負契約】,,【001請負契約】,
"■使用する工事請負契約書、契約約款
・官公庁：建設工事請負契約書（日本建設業団体連合会）、公共工事標準請負契約約款
・民間：工事請負契約書、工事請負契約約款（民間連合協定）",,"■使用する工事請負契約書、契約約款
・官公庁：建設工事請負契約書（日本建設業団体連合会）、公共工事標準請負契約約款
・民間：工事請負契約書、工事請負契約約款（民間連合協定）",
■工事請負契約約款の内容について,,■工事請負契約約款の内容について,
"・監理者に契約締結後、提出するもの
①請負代金内訳書の写し：○○者確認は○要
②工程表の写し：○○者確認は○要",,"・監理者に契約締結後、提出するもの
①請負代金内訳書の写し：監理者確認は必要
②工程表の写し：監理者確認は必要",
"・発注者に書面をもって通知するもの
①○○者、又は、○○者
②○○者",,"・発注者に書面をもって通知するもの
①監理技術者、又は、主任技術者
②専門技術者",
"・工事現場への工事材料、建築設備を持ち出す場合の承認者
○○者承認は○要（委託されてる場合は監理者の承認は必要）",,"・工事現場への工事材料・建築設備を持ち出す場合の承認者
発注者の承認が必要（委託されてる場合は監理者の承認が必要）",
"・現場代理人の権限
請○○の変更、工○○の変更以外、契約に基づく一切の権限を行使できる",,"・現場代理人の権限
請負代金の変更、工期の変更以外、契約に基づく一切の権限を行使できる",
"・請負代金額の変更
原則として、
減少部分は、○○者の確認を受けた請○○書の単価
増加部分は、変更時の○○価による",,"・請負代金額の変更
原則として、
減少部分は、監理者の確認を受けた請求代金内訳書の単価
増加部分は、変更時の時価による",
"・現場代理人、主任技術者、専門技術者
兼任は○○能",,"・現場代理人、主任技術者、専門技術者
兼任可能",
"・検査に合格しなかった工事材料や建築設備は、
○○者の責任において引き取る",,"・検査に合格しなかった工事材料や建築設備は、
受注者の責任において引き取る",
"・設計図書に品質が明示されていない工事材料、建築設備
○○の品質とする",,"・設計図書に品質が明示されていない工事材料、建築設備
中等の品質とする",
"・工事用図書どおりに施工されてない場合
○○者の指示で、○○者が費用を負担し、修補・改造する。（この場合、工期は延長できない）",,"・工事用図書どおりに施工されてない場合
監理者の指示で、受注者が費用を負担し、修補・改造する。（この場合、工期は延長できない）",
"・第三者損害
騒音、振動、地盤沈下、地下水の断絶等、注意を払っても避けられない事象の損害補償は、
○○者が負担する",,"・第三者損害
騒音、振動、地盤沈下、地下水の断絶等、注意を払っても避けられない事象の損害補償は、
発注者が負担する",
"・発注者の部分使用
工事中に発注者が部分使用する場合は、契○○書・設○○書の定めによる。
定めがない場合、○○者の技術的審査後、工期・請求代金等の協議をし、書○○で同意が必要",,"・発注者の部分使用
工事中に発注者が部分使用する場合は、契約書・設計図書の定めによる。
定めがない場合、監理者の技術的審査後、工期・請求代金等の協議をし、書面で同意が必要",
"・工事完了した時の検査
○○者は工事完了時に設計図書とおりに実施されたことを確認し、
○○者に検査立会いを求める。
立会いを委託された○○者は検査に立会う。",,"・工事完了した時の検査
受注者は工事完了時に設計図書とおりに実施されたことを確認し、
発注者に検査立会いを求める。
立会いを委託された監理者は検査に立会う。",
"・契約不適合責任期間
引渡し時検査に契約不適合をただちに請求しなければ、○○者は責任を負わない
一般的な注意の下で発見できなかった契約不適合は、○○者は1年間の責任を負う",,"・契約不適合責任期間
引渡し時検査に契約不適合をただちに請求しなければ、受注者は責任を負わない
一般的な注意の下で発見できなかった契約不適合は、受注者は1年間の責任を負う",
■建築設計・監理等業務委託契約約款について,,■建築設計・監理等業務委託契約約款について,
"・監理業務の指示
○○者は○○者に指示可能
ただし、指示が法令に抵触する場合は、受託者は指示撤回・指示変更を求めることが可能",,"・監理業務の指示
発注者は監理者に指示可能
ただし、指示が法令に抵触する場合は、受託者は指示撤回・指示変更を求めることが可能",
"・監理業務の下請け
○○者が○○者の承諾を得て監理業務を一部下請けに出す場合は、○○者がすべての責任を負う",,"・監理業務の下請け
監理者が発注者の承諾を得て監理業務を一部下請けに出す場合は、受託者（元請）がすべての責任を負う",
"・監理業務の進捗状況の報告、説明
契約に定めがある場合、○○者の請求があれば、報告、説明が必要",,"・監理業務の進捗状況の報告、説明
契約に定めがある場合、発注者の請求があれば、報告、説明が必要",
"・監理業務の中途終了
既に履行した業務の割合に応じて業○○酬を請求できる",,"・監理業務の中途終了
既に履行した業務の割合に応じて業務報酬を請求できる",
"・監理業務の委託者の債務不履行
○○者の債務不履行で損害が発生した場合は、○○者は賠償請求が可能",,"・監理業務の委託者の債務不履行
発注者の債務不履行で損害が発生した場合は、監理者は賠償請求が可能",
【002施工計画】,,【002施工計画】,
■施工計画書の作成と承認,,■施工計画書の作成と承認,
"・施工計画の5項目
品○○、コ○○、工○○、安○○、周○○（QCDSE）",,"・施工計画の5項目
品質、コスト、工期、安全、周辺環境（QCDSE）",
・品質計画は○○者の確認、承認が必要,,品質計画は監理者の確認、承認が必要,
"・施工計画書の内容
①基○○表
②総○○書
③工○○書",,"・施工計画書
①基本工程表
②総合施工計画書
③工種別の施工計画書",
"・①基本工程表のポイント
工事着手前に○○者の承認が必要。
施工図や見本等の承認工程や、検査、立会などの○○程を記載
基本工程表の訂正：大きな設計変更などがあり、施工順序や工期全体に影響がある場合は速やかに訂正。",,"・①基本工程表のポイント
工事着手前に監理者の承認が必要。
施工図や見本等の承認工程や、検査、立会などの日程を記載
基本工程表の訂正：大きな設計変更などがあり、施工順序や工期全体に影響がある場合は速やかに訂正。",
